iteration,r2_score,max_depth,learning_rate,subsample,colsample_bytree
1,0.37155,4.49816,0.095564,0.892798,0.839463
2,0.364772,3.624075,0.02404,0.623233,0.94647
3,0.360188,5.40446,0.073727,0.608234,0.987964
4,0.367892,6.329771,0.029111,0.67273,0.673362
5,0.358309,4.216969,0.057228,0.772778,0.716492
6,0.368045,6.140704,0.023693,0.75417,0.790223
7,0.387396,4.572149,0.1,0.924008,0.873062
8,0.371652,4.585631,0.094076,0.959072,0.856418
9,0.371332,4.581741,0.093213,0.960421,0.833546
10,0.369253,5.101169,0.024359,0.930437,0.897372
11,0.368219,4.560035,0.1,0.904697,0.872676
12,0.366285,4.0195,0.096947,0.634684,0.870501
13,0.366425,3.374718,0.097334,0.97111,0.967825
14,0.349103,5.173536,0.099804,0.779875,0.816756
15,0.371392,6.14761,0.019118,0.77372,0.778448
16,0.362576,5.391529,0.056119,0.894621,0.779802
17,0.36375,5.14382,0.064815,0.750129,0.875353
18,0.370387,5.878196,0.041362,0.617886,0.741203
19,0.371903,4.010716,0.06067,0.900461,0.875601
20,0.36276,4.203804,0.023337,0.618072,0.897644
21,0.384197,5.240328,0.0199,0.800414,0.664999
22,0.369961,5.112724,0.035886,0.936845,0.89142
23,0.382464,4.576156,0.099216,0.932371,0.870293
24,0.390774,4.577073,0.1,0.924571,0.884023
25,0.387387,6.820709,0.066028,0.800428,0.658642
