iteration,r2_score,max_depth,learning_rate,subsample,colsample_bytree
1,0.371651,4.49816,0.095564,0.892798,0.839463
2,0.353205,3.624075,0.02404,0.623233,0.94647
3,0.315153,5.40446,0.073727,0.608234,0.987964
4,0.33721,6.329771,0.029111,0.67273,0.673362
5,0.382179,4.216969,0.057228,0.772778,0.716492
6,0.324237,3.946948,0.1,1.0,0.6
7,0.360417,4.37016,0.048209,0.70893,0.786471
8,0.362943,4.301332,0.090973,0.905511,0.747178
9,0.331709,5.076025,0.020892,0.631359,0.640305
10,0.319244,5.101169,0.024359,0.930437,0.897372
11,0.335102,6.796073,0.098224,0.843583,0.799214
12,0.349471,4.108919,0.041087,0.687974,0.809652
13,0.345533,4.270482,0.034437,0.758079,0.6
14,0.366976,4.24214,0.1,0.787313,0.798081
15,0.350812,4.184747,0.01,0.843374,0.741947
16,0.310907,5.391529,0.056119,0.894621,0.779802
17,0.356812,4.230563,0.1,0.693433,0.717243
18,0.329008,5.878196,0.041362,0.617886,0.741203
19,0.36963,4.010716,0.06067,0.900461,0.875601
20,0.359894,4.203804,0.023337,0.618072,0.897644
21,0.348736,5.240328,0.0199,0.800414,0.664999
22,0.366361,4.290025,0.049391,0.789,0.730614
23,0.369229,4.216508,0.059854,0.774416,0.719567
24,0.311711,5.663434,0.096605,0.826913,0.974995
25,0.322598,6.820709,0.066028,0.800428,0.658642
