iteration,r2_score,max_depth,learning_rate,subsample,colsample_bytree
1,0.358627,4.49816,0.095564,0.892798,0.839463
2,0.364676,3.624075,0.02404,0.623233,0.94647
3,0.341183,5.40446,0.073727,0.608234,0.987964
4,0.345281,6.329771,0.029111,0.67273,0.673362
5,0.363242,4.216969,0.057228,0.772778,0.716492
6,0.342051,3.0,0.1,1.0,0.6
7,0.357642,3.920472,0.01,1.0,1.0
8,0.353129,3.646459,0.030467,0.668569,0.938937
9,0.34864,5.076025,0.020892,0.631359,0.640305
10,0.356022,5.101169,0.024359,0.930437,0.897372
11,0.359198,3.626554,0.024009,0.628594,0.951409
12,0.364621,3.615862,0.019699,0.613286,0.943782
13,0.361435,3.374718,0.097334,0.97111,0.967825
14,0.3567,3.626788,0.03214,0.614302,0.928615
15,0.354933,4.228453,0.072639,0.762672,0.71481
16,0.358462,5.391529,0.056119,0.894621,0.779802
17,0.355621,5.14382,0.064815,0.750129,0.875353
18,0.356644,5.878196,0.041362,0.617886,0.741203
19,0.345793,4.010716,0.06067,0.900461,0.875601
20,0.361326,4.203804,0.023337,0.618072,0.897644
21,0.353317,5.240328,0.0199,0.800414,0.664999
22,0.367673,4.207354,0.044326,0.781238,0.7179
23,0.3661,4.216828,0.047903,0.794232,0.712949
24,0.360546,4.222973,0.034456,0.782479,0.724605
25,0.335823,6.820709,0.066028,0.800428,0.658642
