iteration,r2_score,max_depth,learning_rate,subsample,colsample_bytree
1,0.170997,4.49816,0.095564,0.892798,0.839463
2,0.175803,3.624075,0.02404,0.623233,0.94647
3,0.168931,5.40446,0.073727,0.608234,0.987964
4,0.146183,6.329771,0.029111,0.67273,0.673362
5,0.17471,4.216969,0.057228,0.772778,0.716492
6,0.179628,3.0,0.1,1.0,0.6
7,0.176435,3.0,0.01,0.6,0.6
8,0.183547,3.0,0.01,1.0,1.0
9,0.177386,3.598275,0.01,1.0,0.6
10,0.170347,3.0,0.1,0.6,1.0
11,0.15473,6.796073,0.098224,0.843583,0.799214
12,0.183547,3.388911,0.01,1.0,1.0
13,0.183547,3.881786,0.01,1.0,1.0
14,0.190692,3.671865,0.1,1.0,1.0
15,0.188277,3.68981,0.088616,0.983399,0.983182
16,0.137178,5.150708,0.01,1.0,0.6
17,0.191754,4.220151,0.1,0.6,1.0
18,0.15709,5.878196,0.041362,0.617886,0.741203
19,0.187849,4.010716,0.06067,0.900461,0.875601
20,0.182738,4.203804,0.023337,0.618072,0.897644
21,0.148452,5.240328,0.0199,0.800414,0.664999
22,0.203225,4.189549,0.1,1.0,1.0
23,0.189372,4.181062,0.1,0.858223,1.0
24,0.202141,4.284398,0.01,1.0,1.0
25,0.196884,4.18947,0.01,1.0,0.864674
